VAGYAN/maxbin 82
VAGYAN/dastool/bins_DASTool_bins 0
VEZ7YW/metabat 237
VEZ7YW/vamb/bins 210
VEZ7YW/maxbin 249
VEZ7YW/dastool/bins_DASTool_bins 0
VR8C6C/metabat 0
VR8C6C/vamb/bins 294
VR8C6C/maxbin 170
VR8C6C/dastool/bins_DASTool_bins 0
V38PS1/metabat 123
V38PS1/vamb/bins 255
V38PS1/maxbin 128
V38PS1/dastool/bins_DASTool_bins 0
V8QAVH/metabat 0
V8QAVH/vamb/bins 315
V8QAVH/maxbin 143
V8QAVH/dastool/bins_DASTool_bins 0
VBU4D1/metabat 0
VBU4D1/vamb/bins 226
VBU4D1/maxbin 135
VBU4D1/dastool/bins_DASTool_bins 0
VVEIXI/metabat 0
VVEIXI/vamb/bins 222
VVEIXI/maxbin 158
VVEIXI/dastool/bins_DASTool_bins 0
VXJ3KK/metabat 0
VXJ3KK/vamb/bins 131
VXJ3KK/maxbin 78
VXJ3KK/dastool/bins_DASTool_bins 0
VN8TW5/metabat 143
VN8TW5/vamb/bins 225
VN8TW5/maxbin 147
VN8TW5/dastool/bins_DASTool_bins 0
V296TD/metabat 0
V296TD/vamb/bins 371
V296TD/maxbin 194
V296TD/dastool/bins_DASTool_bins 0
VWU26B/metabat 152
VWU26B/vamb/bins 151
VWU26B/maxbin 188
VWU26B/dastool/bins_DASTool_bins 0
VF7D84/metabat 0
VF7D84/vamb/bins 116
VF7D84/maxbin 70
VF7D84/dastool/bins_DASTool_bins 0
V5IPFI/metabat 0
V5IPFI/vamb/bins 237
V5IPFI/maxbin 142
V5IPFI/dastool/bins_DASTool_bins 0
VRDXKW/metabat 129
VRDXKW/vamb/bins 203
VRDXKW/maxbin 138
VRDXKW/dastool/bins_DASTool_bins 0
VB0SBO/metabat 144
VB0SBO/vamb/bins 270
VB0SBO/maxbin 182
VB0SBO/dastool/bins_DASTool_bins 0
VLJW9A/metabat 0
VLJW9A/vamb/bins 165
VLJW9A/maxbin 112
VLJW9A/dastool/bins_DASTool_bins 0
VP5ZAB/metabat 0
VP5ZAB/vamb/bins 233
VP5ZAB/maxbin 125
VP5ZAB/dastool/bins_DASTool_bins 0
VP8AMJ/metabat 130
VP8AMJ/vamb/bins 164
VP8AMJ/maxbin 136
VP8AMJ/dastool/bins_DASTool_bins 0
VS1ZST/metabat 0
VS1ZST/vamb/bins 173
VS1ZST/maxbin 159
VW6QOI/metabat 0
VW6QOI/vamb/bins 145
VW6QOI/maxbin 77
VW6QOI/dastool/bins_DASTool_bins 0
VU4OMZ/metabat 0
VU4OMZ/vamb/bins 171
VU4OMZ/maxbin 69
VU4OMZ/dastool/bins_DASTool_bins 0
VIYDGY/metabat 0
VIYDGY/vamb/bins 196
VIYDGY/maxbin 96
VIYDGY/dastool/bins_DASTool_bins 0
VG2PS6/metabat 133
VG2PS6/vamb/bins 221
VG2PS6/maxbin 145
VG2PS6/dastool/bins_DASTool_bins 0
V36VGE/metabat 165
V36VGE/vamb/bins 149
V36VGE/maxbin 179
V36VGE/dastool/bins_DASTool_bins 0
VJZ9UB/metabat 0
VJZ9UB/vamb/bins 239
VJZ9UB/maxbin 152
VJZ9UB/dastool/bins_DASTool_bins 0
V25RI2/metabat 191
V25RI2/vamb/bins 340
V25RI2/maxbin 190
V25RI2/dastool/bins_DASTool_bins 0
V0W7HW/metabat 190
V0W7HW/vamb/bins 338
V0W7HW/maxbin 214
VFZ765/metabat 152
VFZ765/vamb/bins 131
VFZ765/maxbin 148
VFZ765/dastool/bins_DASTool_bins 0
V4BDZE/metabat 0
V4BDZE/vamb/bins 188
V4BDZE/maxbin 103
V4BDZE/dastool/bins_DASTool_bins 0
VSXHDG/metabat 186
VSXHDG/vamb/bins 239
VSXHDG/maxbin 205
V3QRHD/metabat 0
V3QRHD/vamb/bins 233
V3QRHD/maxbin 134
V3QRHD/dastool/bins_DASTool_bins 0
V83E8E/metabat 116
V83E8E/vamb/bins 163
V83E8E/maxbin 128
V83E8E/dastool/bins_DASTool_bins 0
VYBENH/metabat 169
VYBENH/vamb/bins 111
VYBENH/maxbin 170
VYBENH/dastool/bins_DASTool_bins 0
V3IB73/metabat 168
V3IB73/vamb/bins 169
